,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,7.71,0.0,0.0,0.0,0.0,0.4382,0.0,0.0,0.0,4.168,1.344,0.0,3.578,0.0,0.0,0.0,2.23,3.299,4.5,0.0,6.0,1.253,0.0,0.9155,5.46,0.0,8.33,5.63,8.9,0.0,6.71
1,0.0,5.215,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,0.0,0.0,0.0,5.48,8.164,6.824,0.0,15.34,0.0,0.0,5.504,0.0,10.12,9.47,0.0,0.0,0.0,0.0,0.0,28.89
2,0.0,11.586,0.0,0.0,0.0,0.0,5.05,13.945,0.0,0.0,0.187,14.32,0.0,8.79,1.654,0.0,7.246,0.1189,6.52,4.043,0.0,15.7,10.664,0.0,12.51,9.65,0.0,2.38,6.758,8.664,0.0,19.53
3,0.0,0.0,0.0,0.0,13.8,0.0,0.0,12.48,0.0,1.635,0.0,4.22,1.687,5.5,4.492,5.062,0.0,10.39,0.0,4.973,0.0,0.0,7.69,0.0,0.0,0.0,0.0,3.344,10.8,0.0,0.0,12.016
4,2.283,1.625,0.0,3.44,0.0,0.0,0.0,5.715,0.0,12.11,0.0991,1.744,0.0,3.771,7.066,0.0,0.0,10.89,2.498,9.32,1.385,13.414,0.0,0.0,3.826,7.52,0.0,3.646,0.0,4.285,0.0,0.0
5,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,5.863,0.0,9.31,3.145,8.28,1.039,0.0,11.6,10.66,0.0,8.01,0.0,0.0,6.953,0.0,0.0,2.82,0.0,1.765,15.78,5.05,0.0,5.043
6,4.523,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15,2.256,5.004,0.0,8.91,5.77,0.0,11.19,6.05,0.0,21.02,0.0,8.78,4.402,0.0,0.0,6.402,0.0,7.152,0.0,5.582,0.0,2.611
7,0.0,14.77,0.0,0.0,0.575,0.6484,1.161,0.0,0.0,0.0,0.0,0.894,0.0,11.11,0.0,0.0,0.0,7.37,3.97,2.656,0.0,5.63,0.0,0.0,4.695,20.72,0.0,1.511,3.072,11.234,0.0,6.676
8,0.001099,0.0,0.0,0.0,2.883,0.0,0.0,0.0,0.0,5.004,0.7715,1.605,0.0,2.617,1.727,0.0,3.076,6.055,0.0,11.03,0.0,1.568,0.0,0.0,0.0,10.305,0.0,3.209,1.721,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,6.945,1.935,0.0,2.758,0.0,2.445,0.0,4.137,5.312,1.588,0.1555,0.0,0.0,13.37,0.0,2.54,0.0,0.0,3.09,0.0,0.0,5.652,0.0,3.037,8.42,0.1577,0.0,6.76
10,0.0,4.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.0,5.29,0.0,5.316,5.3,0.0,7.605,5.414,0.0,16.38,0.0,0.0,6.754,0.0,0.0,8.96,0.0,0.3105,1.119,0.0,0.3633,18.08
11,0.6094,2.887,0.0,1.428,2.137,0.0,0.0,3.855,0.0,2.148,0.791,2.79,0.0,6.215,0.0,0.0,6.69,1.218,0.0,1.899,0.0,2.562,3.387,0.0,1.3125,2.258,0.0,7.395,7.098,2.066,0.0,0.486
12,0.0,6.19,0.0,0.0,2.744,0.0,0.5166,0.576,2.918,1.262,4.082,9.945,0.1686,1.414,0.0,0.0,0.0,6.664,5.805,6.73,0.0,4.35,6.42,0.0,5.223,4.297,0.0,7.01,14.13,5.22,3.547,0.0
