,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1.478,4.484,0.0,0.0,0.0,8.664,0.0,0.0,0.0,0.0,4.24,3.893,0.0,4.55,0.0,0.0,0.0,7.2,5.79,7.684,0.0,5.875,2.55,0.0,0.0,6.285,0.0,9.33,9.53,8.59,0.0,10.52
1,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.047,1.42,4.027,0.0,14.67,0.0,0.0,2.162,0.0,8.555,14.79,0.0,0.0,0.0,0.0,0.0,30.1
2,0.0,4.81,0.0,0.0,0.0,0.0,2.223,13.63,0.0,0.0,0.0,12.19,1.635,4.867,5.67,0.0,4.895,0.0,7.72,1.16,0.0,9.76,4.207,0.0,8.09,6.926,0.0,0.0,7.9,10.73,0.0,19.72
3,0.0,0.001318,0.0,0.0,14.586,0.0,0.0,9.81,0.0,0.0,0.0,2.094,3.3,3.129,1.947,0.0,5.035,6.6,0.0,5.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652,7.0,0.0,0.0,10.94
4,0.0,0.0,0.0,2.902,0.0,0.0,3.434,6.152,0.0,14.43,0.0,5.254,0.0,3.404,10.92,0.0,0.0,10.09,1.036,15.26,3.873,15.234,0.0,0.0,3.047,10.16,0.0,0.0,0.0,3.805,0.0,0.0
5,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,2.854,0.0,7.867,1.284,6.812,2.412,0.0,12.875,10.12,0.0,10.945,0.0,0.0,3.623,0.0,0.9517,4.027,0.0,2.275,11.65,5.36,0.0,8.0
6,5.945,4.535,0.0,1.382,0.0,0.0,0.0,0.0,0.0,8.64,1.403,6.496,0.0,6.0,0.0,0.0,7.01,5.145,0.0,17.12,0.0,7.047,4.938,0.0,0.0,4.57,0.0,2.455,0.0,7.426,0.0,0.0
7,0.0,14.71,0.0,0.0,0.0,8.375,0.0,2.486,0.0,2.744,6.07,0.0,0.0,3.95,4.918,0.0,4.16,4.23,4.484,4.254,0.0,4.562,0.0,0.0,2.95,23.16,0.0,4.652,7.47,13.33,0.0,9.0
8,0.961,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,3.97,2.094,1.511,0.0,1.765,1.389,0.0,0.2822,5.504,0.0,10.445,0.0,0.9443,0.0,0.01642,0.0,9.64,0.0,4.227,1.862,0.0,0.0,0.0
9,0.0,2.55,0.0,0.0,4.754,0.0,0.0,4.715,0.0,0.0,0.0,0.0,2.6,1.222,0.0,0.0,0.0,10.92,0.0,2.797,0.0,0.0,0.0,0.0,0.0,3.066,0.0,3.977,6.195,0.0,0.0,4.836
10,0.0,4.41,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,8.99,0.885,0.0,9.695,0.0,0.0,9.97,0.0,4.2,0.0,0.0,6.758,6.94,0.0,1.743,3.75,0.0,0.0,20.25
11,0.0,6.29,0.0,0.0,0.0,0.0,0.0,2.9,0.0,1.345,2.355,1.86,0.0,2.54,1.784,0.0,8.07,1.545,0.0,5.645,0.0,0.7324,4.32,0.0,0.0,3.184,0.0,7.02,5.754,0.0962,0.0,0.7856
12,0.0,7.883,0.0,1.393,0.0,0.0,3.152,1.192,0.0,5.043,1.799,7.97,0.0,4.105,1.62,0.0,5.13,4.49,1.46,6.79,0.0,10.08,7.887,0.0,6.82,3.408,0.0,6.562,10.016,2.328,2.309,0.0642
13,0.0,4.074,0.0,1.891,17.6,7.254,0.0,11.125,0.0,2.777,0.0,6.695,4.66,0.0,2.559,0.0,5.88,9.27,0.0,0.0,0.0,0.0,8.766,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,8.445
14,0.0,4.15,0.0,2.176,5.043,0.0,0.0,0.0,0.0,2.092,0.1333,0.287,0.0,0.3552,0.0,0.0,0.0,4.38,0.0,10.22,0.0,2.85,1.123,0.0,0.0,9.21,0.0,4.285,3.121,6.83,0.0,0.0
15,1.812,0.003662,0.0,1.105,4.062,0.0,0.0,1.448,0.0,1.087,0.0,0.836,4.02,0.0,0.0,0.0,0.9507,5.145,0.0,8.07,0.0,1.511,4.844,0.0,0.0,7.035,0.0,8.54,6.74,4.566,0.0,3.996
16,0.0,5.465,0.0,0.0,10.29,0.0,0.0,13.414,0.0,2.227,0.0,0.0,4.85,0.0,4.8,0.0,0.0,12.01,0.0,9.54,0.0,0.002747,3.21,0.0,0.0,0.0,0.0,10.41,0.0,0.0,0.0,2.787
17,1.599,4.074,0.0,1.306,8.72,0.0,0.0,0.0,0.0,1.817,0.0,3.697,0.0,7.16,0.0,0.0,0.0,12.95,0.0,14.75,0.0,7.45,0.0,0.0,0.0,13.42,0.0,0.0,6.46,13.69,0.0,1.037
18,0.0,5.45,0.0,0.0,21.11,0.0,0.0,16.25,0.0,0.0,0.0,2.719,7.926,0.0,1.42,10.49,4.65,0.0,0.0,1.293,0.0,0.0,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46
19,2.475,5.047,0.0,2.525,0.0,0.0,0.0,0.0,0.0,1.782,4.13,10.195,2.96,4.57,0.5996,0.0,9.08,3.867,1.706,13.72,0.0,1.551,9.61,0.0,0.0,4.88,0.0,0.0,6.617,2.057,0.0,5.54
