,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,8.65,0.0,2.96,0.0,0.0,0.0,0.0,0.0,1.905,0.0,2.459,1.482,0.574,3.287,0.0,0.0,0.0,0.0,7.934,10.48,0.0,5.945,0.0,0.0,2.924,6.848,0.0,11.31,4.18,9.53,0.0,1.116
1,0.0,3.457,1.822,0.0,0.0,0.0,0.0,0.0,0.0,1.651,0.0,4.703,0.0,0.0,0.0,7.168,7.383,6.68,0.0,11.53,0.0,0.0,4.51,0.0,9.96,12.88,0.0,0.0,0.0,0.0,0.0,26.25
2,0.82,7.562,0.0,0.1327,0.0,0.0,0.0,19.34,0.0,0.0,1.97,10.83,4.348,12.375,11.25,0.0,11.96,0.0,8.625,6.758,0.0,15.28,5.906,0.0,8.414,6.836,0.0,2.664,11.67,13.81,0.0,21.98
3,0.0,0.0,0.0,0.0,13.09,0.0,0.0,6.41,0.0,0.0,0.0,0.0,3.309,6.57,4.844,4.875,4.53,9.73,0.119,2.88,0.0,0.0,0.2385,0.0,0.04016,0.0,0.0,0.8364,9.06,2.295,0.0,9.7
4,0.0,2.646,0.0,4.13,0.0,2.145,3.582,5.125,0.0,12.06,0.434,0.0,0.0,2.598,9.34,0.0,0.0,10.82,3.197,5.19,1.862,13.32,0.0,0.0,10.945,11.11,0.0,3.559,0.8755,10.164,0.0,0.0
5,0.0,0.0,0.0,0.0,1.096,0.0,0.0,0.0,0.0,3.135,0.0,10.85,0.0,5.445,1.746,0.0,15.09,8.66,0.0,11.67,0.0,1.255,4.89,0.0,3.562,6.42,0.0,7.617,13.6,4.656,0.0,2.205
6,7.08,9.75,0.2886,0.0,0.0,0.0,0.0,0.0,0.0,13.28,1.612,6.613,0.0,10.61,0.0,0.0,11.336,4.816,0.0,21.62,0.0,6.29,3.85,0.0,2.375,1.525,0.0,0.988,0.0,7.21,0.0,0.2168
7,0.0,10.09,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,1.569,1.926,0.0,4.168,0.0,0.0,0.0,3.781,3.21,5.836,0.0,3.807,0.0,0.0,1.182,20.94,0.0,2.266,1.676,10.38,0.0,2.057
8,0.0,0.0,0.0,0.0,2.842,0.0,0.0,0.0,0.0,5.926,1.503,0.0,0.0,3.098,1.91,0.0,2.654,7.08,0.0,8.31,0.0,0.1289,0.0,0.0,2.934,10.234,0.0,5.48,1.803,0.0,0.0,0.0
9,0.0,3.432,0.0,0.0,4.105,0.0,0.0,2.328,0.0,1.639,0.0,0.0,5.543,0.0,0.0,0.0,0.0,12.72,0.0,2.941,0.0,0.0,1.08,0.0,0.0,4.246,0.0,4.902,8.35,0.0,0.0,6.184
