,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.486,4.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506,3.904,0.0,3.965,0.0,0.0,0.0,5.68,0.4163,8.47,0.0,3.963,0.0,0.0,0.29,7.875,0.0,8.47,7.332,8.5,0.0,10.11
1,0.0,5.914,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691,0.0,0.0,0.0,7.645,5.41,4.01,0.0,14.484,0.0,0.0,1.791,0.0,9.305,11.29,0.0,0.0,0.0,0.0,0.0,27.17
2,0.0,8.766,0.0,0.0,0.0,0.0,5.273,7.086,0.0,0.0,0.0,15.33,0.0,9.875,0.0,0.0,6.062,2.766,7.953,0.0,0.0,12.38,12.25,0.0,10.805,11.73,0.0,0.0,11.74,16.69,0.0,16.23
3,0.0,0.0,0.0,0.0,17.92,0.0,1.425,12.516,0.0,0.0,0.0,1.755,4.305,2.936,8.38,5.43,7.41,8.41,0.0,2.078,0.0,0.0,5.66,0.0,1.663,0.0,0.0,2.068,9.78,0.0,0.0,10.53
4,0.0,1.888,0.0,3.588,0.0,0.0,5.348,9.42,0.0,11.15,0.0,0.825,0.0,1.429,7.78,0.0,0.0,10.18,3.895,7.742,3.826,15.21,0.0,0.0,4.938,10.15,0.0,0.0,0.0,1.617,0.0,0.0
5,0.0,0.0,0.0,0.0,2.104,0.0,0.0,0.0,0.0,7.2,0.0,8.49,3.934,7.934,3.287,0.0,14.18,14.016,0.0,6.484,0.0,0.1251,4.03,0.0,0.0,8.03,0.0,2.334,17.56,4.57,0.0,0.888
6,4.91,9.5,0.0,0.0,0.0,0.0,0.1733,6.617,0.0,8.8,4.023,9.13,0.0,11.19,0.0,0.0,8.91,3.545,0.3582,14.766,0.0,13.33,3.838,0.0,0.0,4.43,0.0,2.371,0.0,7.875,0.0,1.266
7,0.0,12.05,0.0,0.0,0.0,2.666,0.0,5.09,0.0,0.0,0.0,0.0,0.0,5.402,0.0,0.0,0.3896,5.477,6.152,1.314,0.0,5.05,0.0,0.0,9.03,23.97,0.0,5.69,2.547,10.6,0.0,6.562
8,0.0,0.0,0.0,0.0,1.253,0.0,0.0,0.0,0.0,3.451,0.0,0.0,0.0,1.951,0.0,0.0,1.4795,5.305,0.0,7.816,0.0,2.041,0.0,0.0,0.0,6.965,0.0,4.066,1.031,0.0,0.0,1.432
9,0.0,0.846,0.0,0.0,7.36,0.0,0.0,7.168,0.0,0.0,0.0,0.0,2.545,0.8667,0.0,0.0,0.0,14.63,0.0,2.229,0.0,0.0,3.508,0.0,2.727,4.945,0.0,3.816,7.047,0.0,0.0,6.355
10,0.0,2.887,1.635,0.0,5.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,8.164,0.0,9.664,1.563,0.0,10.87,0.0,0.658,4.613,0.0,1.902,3.441,0.0,2.79,3.238,0.0,0.0,23.62
11,0.0,3.738,0.0,0.0,1.737,0.0,0.0,1.922,0.0,2.57,0.2305,4.77,0.0,4.535,0.0,0.0,5.18,3.791,0.0,1.793,0.0,0.1124,3.898,0.0,1.473,1.424,0.0,8.6,8.484,3.445,0.0,2.799
12,2.822,5.418,0.0,0.0,0.0,0.0,0.0,0.0,1.052,5.887,3.014,7.46,0.0,3.23,0.0,0.0,2.625,7.02,0.0,5.92,0.0,8.44,9.13,0.0,6.973,4.06,0.0,6.605,12.15,2.486,2.107,0.0
13,0.0,1.266,0.0,0.0,16.6,0.0,3.783,13.64,3.254,0.0,0.0,0.02579,2.516,1.165,8.15,2.965,7.336,7.234,0.0,0.98,0.0,0.0,10.445,0.0,0.0,0.0,1.978,7.586,3.87,0.0,0.0,5.867
14,0.0,4.703,0.0,0.0,6.434,0.0,0.0,3.432,0.0,1.986,0.0,0.0,0.0,0.1907,0.0,0.0,0.0,5.848,0.0,9.6,0.0,2.46,0.0,0.0,0.0,10.42,0.0,5.4,3.314,4.87,0.0,0.0
15,0.0,2.357,0.0,0.0,6.574,0.0,0.0,1.539,2.97,0.0,0.0,0.0,4.156,0.0,0.0,0.0,0.0,4.617,0.1633,7.85,0.0,0.0,3.588,0.0,0.1333,7.22,0.0,8.75,5.81,3.182,0.0,0.565
16,0.0,4.066,0.0,0.0,10.875,0.0,0.0,14.07,0.0,2.326,0.0,0.0,5.17,0.0,0.0,0.0,0.0,11.88,0.0,7.688,0.0,0.0,2.564,0.0,0.0,0.9434,0.0,6.496,0.10974,0.0,0.0,1.821
17,1.684,3.303,0.0,0.0,3.928,0.0,0.0,3.357,0.0,2.328,0.0,3.527,0.0,8.54,0.0,0.0,0.0,11.47,0.0,10.53,0.0,8.9,0.0,0.0,0.933,9.76,0.0,3.135,6.3,11.55,0.0,1.7295
18,0.0,1.26,0.0,0.0,24.69,0.0,1.998,15.19,0.0,0.0,0.0,3.578,0.0,0.0,1.727,7.633,0.11865,2.785,0.0,3.693,0.0,0.0,15.19,0.0,2.227,0.0,0.0,0.0,1.262,0.0,0.0,11.875
19,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,6.492,0.0,0.0,0.0,0.0,7.17,5.918,0.0,20.5,0.0,5.395,11.05,0.0,0.0,6.926,0.0,5.492,10.66,5.74,0.0,15.6
20,0.0,2.242,0.497,0.0,0.0,0.0,0.0,0.0,0.0,5.242,0.0,9.66,4.363,1.298,2.15,6.996,13.75,0.0,0.0,12.1,0.0,0.0,8.86,0.0,9.27,10.88,0.0,0.0,0.0,0.0,0.0,14.88
21,0.0,0.0,0.0,0.0,5.867,0.0,0.0,0.0,0.0,5.023,0.0,0.0,4.688,5.508,0.0,0.0,0.7515,3.213,0.0,9.26,0.0,0.0,1.275,0.0,0.0,4.91,0.0,6.133,2.213,0.0,0.0,6.1
22,0.0,9.79,1.579,0.0,5.03,0.0,0.0,0.0,0.0,9.62,0.0,2.43,0.0,11.484,2.113,0.0,9.3,0.482,0.0,13.32,0.0,0.0,2.803,0.0,0.0,0.0,0.0,9.55,7.89,0.0,3.193,18.03
23,0.0,2.982,0.0,0.0,3.814,0.0,0.0,0.5664,0.0,3.383,0.0,0.0,2.896,1.272,0.0,0.0,1.456,5.383,0.0,3.016,0.0,0.0,0.8623,0.0,0.0,5.133,0.0,8.375,4.598,2.78,0.0,0.2632
24,0.0,0.563,0.0,0.0,17.11,0.0,0.0,0.0,1.022,2.05,0.0,0.2379,16.27,0.0,0.0,2.6,0.0,9.76,0.0,5.42,0.0,0.0,4.324,0.0,0.0,3.998,0.0,1.968,1.439,0.0,0.0,0.0
25,0.0,0.0,0.0,1.107,5.83,0.0,0.0,0.0,0.0,5.16,0.0,0.5923,1.39,2.021,4.164,4.81,4.973,10.695,0.0,10.43,0.0,0.0,0.0,0.0,5.36,9.914,0.0,0.0,0.0,0.0,0.0,7.15
26,0.0,2.639,0.0,0.0,3.238,0.0,0.0,0.0,0.0,3.127,0.663,0.8984,4.027,3.45,0.0,0.0,2.945,4.26,0.0,7.75,0.0,0.0,1.19,0.0,0.0,6.023,0.0,8.24,2.928,2.188,0.0,0.010635
27,4.492,2.217,0.0,0.0,0.0,0.0,0.0,0.0,4.973,0.0,3.225,13.086,8.09,4.727,0.0,0.0,7.418,1.781,4.895,6.82,0.0,3.621,10.13,0.0,0.0,7.875,0.0,15.305,11.85,8.31,0.0,0.0
28,0.0,0.0,0.0,0.0,11.55,0.0,17.3,24.47,0.0,0.0,0.0,0.0,4.91,1.409,11.836,1.331,0.0,10.5,0.0,1.996,1.308,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69
29,5.32,1.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28,0.0,16.6,0.6323,0.0,11.305,3.576,2.268,2.287,0.0,6.594,0.0,0.0,6.29,1.105,0.0,7.082,3.627,9.49,0.0,2.695
30,0.0,0.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412,16.47,5.465,8.57,7.816,1.313,11.72,0.0,0.0,4.094,0.0,6.434,14.23,0.0,0.0,2.662,5.87,2.508,6.863,3.988,0.0,5.11
31,0.0,0.0,0.0,0.0,6.562,0.0,8.14,14.234,0.0,0.0,0.0,1.45,16.81,3.768,8.09,8.42,0.0,7.24,0.0,0.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6396,0.0,0.0,25.1
32,1.342,0.0,0.0,0.0,4.117,0.0,0.0,1.191,1.172,1.963,0.0,0.001755,0.799,1.732,0.752,0.0,1.898,4.203,0.0,8.6,0.0,4.586,1.818,0.0,0.2222,5.445,0.0,4.164,0.1792,6.082,0.0,0.7944
33,0.0,1.133,0.0,0.0,6.156,0.176,0.0,0.0,0.0,4.277,0.0,0.0,0.6934,3.959,0.0,0.0,3.621,4.195,0.0,6.59,0.0,0.0,0.0,0.0,0.0,9.21,0.0,8.87,4.43,0.0,0.0,5.36
34,0.0,3.947,0.0,0.0,14.875,0.0,0.0,12.85,0.0,4.855,0.0,0.4421,3.691,8.42,7.043,1.369,4.926,18.17,0.0,9.164,0.0,0.0,3.486,0.0,0.0,0.0,0.0,6.492,0.0,0.0,0.0,6.664
35,4.426,12.54,0.0,0.0,0.4517,1.273,0.0,2.262,0.0,11.55,6.887,4.9,2.164,2.787,0.0,0.0,2.32,10.484,0.0,8.41,0.0,5.32,15.03,0.0,0.1497,0.0,0.0,9.45,13.695,2.902,1.92,6.652
36,0.0,8.19,0.0,0.0,24.16,0.0,2.307,15.88,0.0,2.623,0.0,0.0,10.79,3.303,6.754,3.818,0.0,8.79,0.0,8.22,0.0,0.0,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125
37,0.1788,9.24,0.0,0.0,4.47,3.945,0.0,1.582,0.0,0.0,0.0,1.466,0.0,8.52,0.3257,0.0,1.383,4.133,0.0,3.516,0.0,7.906,0.0,0.0,0.04395,14.85,0.0,9.81,6.72,8.28,0.0,6.402
38,0.0,3.201,0.0,0.0,16.62,0.0,0.0,4.84,0.0,3.291,0.0,0.0,7.03,4.09,0.1821,2.254,0.0,9.25,0.0,8.125,0.0,0.0,4.19,0.0,0.0,0.619,0.0,4.99,4.496,0.0,0.0,1.265
39,0.0,0.0,0.0,0.0,16.12,0.0,0.0,30.77,0.0,0.0,0.0,6.2,0.0,6.742,10.38,4.8,8.22,21.44,0.0,19.73,0.0,0.0,1.982,0.0,0.0,0.0,0.0,0.0,25.78,0.0,0.0,32.16
40,0.0,10.72,0.0,0.0,0.0,0.0,0.0,0.2164,0.0,22.25,3.656,15.5,0.0,12.125,0.0,0.0,25.34,21.61,0.0,12.1,0.0,0.0,0.0,0.0,6.11,21.36,0.0,5.12,7.117,14.2,0.0,5.09
41,1.606,11.21,0.0,10.0,0.0,0.0,11.08,0.0,0.0,0.0,0.0,1.625,0.0,9.76,5.742,0.0,0.0,2.908,8.945,1.608,9.89,13.66,0.0,0.0,14.36,12.34,0.0,0.0,0.2769,18.66,0.0,21.83
42,0.0,5.637,0.0,0.0,0.0,0.0,2.861,5.402,0.0,0.0,0.0,2.945,0.0,7.887,0.733,0.0,2.102,3.191,5.164,6.434,0.0,14.49,0.0,0.0,4.562,11.64,0.0,4.766,9.76,15.12,0.0,10.24
43,1.7,4.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604,3.78,0.0,0.6367,0.0687,0.0,4.887,0.0,0.0,8.484,0.0,4.973,8.45,0.0,1.053,2.926,0.0,3.678,8.734,7.87,0.0,9.72
44,0.0,3.37,0.0,0.0,4.184,0.0,0.0,0.0,0.0,0.708,2.299,3.76,4.664,2.613,0.0,0.0,1.448,5.03,0.0,5.258,0.0,0.0,6.207,0.0,0.1843,7.76,0.0,5.465,8.29,0.0,2.344,3.672
45,0.0,8.51,0.0,0.0,2.076,0.0,0.0,0.0,0.0,0.0,4.72,1.618,8.62,7.93,0.0,0.0,3.303,2.05,4.86,7.895,0.0,0.0,1.133,0.0,0.0,11.18,0.0,4.863,8.41,7.188,0.0,0.0
46,0.51,3.174,0.0,0.0,2.771,0.0,0.0,2.105,3.744,2.002,0.0,13.21,0.0,9.36,0.0,0.0,4.125,8.02,0.0,0.0,0.0,5.38,5.19,0.0,1.981,6.938,0.0,9.61,12.79,8.22,0.0,2.041
47,0.0,0.0,0.0,0.0,1.611,0.0,0.0,0.0,1.603,0.0,0.0,4.258,2.21,2.281,5.22,0.0,7.418,7.91,0.0,4.867,0.0,0.0,2.838,0.0,0.0,8.1,0.0,0.7495,4.69,0.0,0.0,2.41
48,1.634,3.867,0.0,0.0,0.0,0.0,0.0,3.902,0.0,0.7476,2.238,3.152,0.5703,1.657,1.987,0.0,8.125,5.85,4.047,4.465,0.0,7.59,5.3,0.0,7.652,6.832,0.0,10.516,8.21,1.681,0.0,0.0
49,0.0,5.97,0.0,0.0,13.12,0.0,0.0,10.77,0.0,3.938,0.0,0.0,5.09,0.0,0.0,3.826,0.0,19.67,0.0,7.78,0.0,0.0,4.53,0.0,0.0,0.0,0.0,2.133,0.0,0.0,0.0,4.484
50,6.305,0.6494,0.0,0.0,0.0,0.0,0.0,0.0,1.566,3.502,1.715,6.438,0.0,10.35,0.0,0.0,6.402,4.32,0.0,7.918,0.0,3.844,3.123,0.0,2.127,7.24,0.0,12.38,7.89,8.07,0.0,0.0
51,0.0,0.0,0.0,0.0,12.234,0.0,0.0,9.484,0.0,0.0,0.0,9.08,0.0,0.0,6.816,11.53,3.656,12.266,0.0,9.34,0.0,0.0,5.176,0.0,0.0,6.668,0.0,0.0,9.6,0.0,0.0,28.1
